id;name;username;email;kd_pwk;role;nm_pemda;password;
208;Kab. Cirebon;Kab_Cirebon;Kab_Cirebon@mail.com;PW10;Pemerintah Daerah;Kab. Cirebon;password;
209;Kab. Garut;Kab_Garut;Kab_Garut@mail.com;PW10;Pemerintah Daerah;Kab. Garut;password;
210;Kab. Indramayu;Kab_Indramayu;Kab_Indramayu@mail.com;PW10;Pemerintah Daerah;Kab. Indramayu;password;
211;Kab. Karawang;Kab_Karawang;Kab_Karawang@mail.com;PW10;Pemerintah Daerah;Kab. Karawang;password;
212;Kab. Kuningan;Kab_Kuningan;Kab_Kuningan@mail.com;PW10;Pemerintah Daerah;Kab. Kuningan;password;
213;Kab. Majalengka;Kab_Majalengka;Kab_Majalengka@mail.com;PW10;Pemerintah Daerah;Kab. Majalengka;password;
214;Kab. Pangandaran;Kab_Pangandaran;Kab_Pangandaran@mail.com;PW10;Pemerintah Daerah;Kab. Pangandaran;password;
215;Kab. Purwakarta;Kab_Purwakarta;Kab_Purwakarta@mail.com;PW10;Pemerintah Daerah;Kab. Purwakarta;password;
216;Kab. Subang;Kab_Subang;Kab_Subang@mail.com;PW10;Pemerintah Daerah;Kab. Subang;password;
217;Kab. Sukabumi;Kab_Sukabumi;Kab_Sukabumi@mail.com;PW10;Pemerintah Daerah;Kab. Sukabumi;password;
218;Kab. Sumedang;Kab_Sumedang;Kab_Sumedang@mail.com;PW10;Pemerintah Daerah;Kab. Sumedang;password;
219;Kab. Tasikmalaya;Kab_Tasikmalaya;Kab_Tasikmalaya@mail.com;PW10;Pemerintah Daerah;Kab. Tasikmalaya;password;
220;Kota Bandung;Kota_Bandung;Kota_Bandung@mail.com;PW10;Pemerintah Daerah;Kota Bandung;password;
221;Kota Banjar;Kota_Banjar;Kota_Banjar@mail.com;PW10;Pemerintah Daerah;Kota Banjar;password;
222;Kota Bekasi;Kota_Bekasi;Kota_Bekasi@mail.com;PW10;Pemerintah Daerah;Kota Bekasi;password;
223;Kota Bogor;Kota_Bogor;Kota_Bogor@mail.com;PW10;Pemerintah Daerah;Kota Bogor;password;
224;Kota Cimahi;Kota_Cimahi;Kota_Cimahi@mail.com;PW10;Pemerintah Daerah;Kota Cimahi;password;
225;Kota Cirebon;Kota_Cirebon;Kota_Cirebon@mail.com;PW10;Pemerintah Daerah;Kota Cirebon;password;
226;Kota Depok;Kota_Depok;Kota_Depok@mail.com;PW10;Pemerintah Daerah;Kota Depok;password;
227;Kota Sukabumi;Kota_Sukabumi;Kota_Sukabumi@mail.com;PW10;Pemerintah Daerah;Kota Sukabumi;password;
228;Kota Tasikmalaya;Kota_Tasikmalaya;Kota_Tasikmalaya@mail.com;PW10;Pemerintah Daerah;Kota Tasikmalaya;password;
229;Prov. Banten;Prov_Banten;Prov_Banten@mail.com;PW30;Pemerintah Daerah;Prov. Banten;password;
230;Kab. Lebak;Kab_Lebak;Kab_Lebak@mail.com;PW30;Pemerintah Daerah;Kab. Lebak;password;
231;Kab. Pandeglang;Kab_Pandeglang;Kab_Pandeglang@mail.com;PW30;Pemerintah Daerah;Kab. Pandeglang;password;
232;Kab. Serang;Kab_Serang;Kab_Serang@mail.com;PW30;Pemerintah Daerah;Kab. Serang;password;
233;Kab. Tangerang;Kab_Tangerang;Kab_Tangerang@mail.com;PW30;Pemerintah Daerah;Kab. Tangerang;password;
234;Kota Cilegon;Kota_Cilegon;Kota_Cilegon@mail.com;PW30;Pemerintah Daerah;Kota Cilegon;password;
235;Kota Serang;Kota_Serang;Kota_Serang@mail.com;PW30;Pemerintah Daerah;Kota Serang;password;
236;Kota Tangerang;Kota_Tangerang;Kota_Tangerang@mail.com;PW30;Pemerintah Daerah;Kota Tangerang;password;
237;Kota Tangerang Selatan;Kota_Tangsel;Kota_Tangsel@mail.com;PW30;Pemerintah Daerah;Kota Tangerang Selatan;password;
238;Prov. Jawa Tengah;Prov_Jawa_Tengah;Prov_Jawa_Tengah@mail.com;PW11;Pemerintah Daerah;Prov. Jawa Tengah;password;
239;Kab. Banjarnegara;Kab_Banjarnegara;Kab_Banjarnegara@mail.com;PW11;Pemerintah Daerah;Kab. Banjarnegara;password;
240;Kab. Banyumas;Kab_Banyumas;Kab_Banyumas@mail.com;PW11;Pemerintah Daerah;Kab. Banyumas;password;
241;Kab. Batang;Kab_Batang;Kab_Batang@mail.com;PW11;Pemerintah Daerah;Kab. Batang;password;
242;Kab. Blora;Kab_Blora;Kab_Blora@mail.com;PW11;Pemerintah Daerah;Kab. Blora;password;
243;Kab. Boyolali;Kab_Boyolali;Kab_Boyolali@mail.com;PW11;Pemerintah Daerah;Kab. Boyolali;password;
244;Kab. Brebes;Kab_Brebes;Kab_Brebes@mail.com;PW11;Pemerintah Daerah;Kab. Brebes;password;
245;Kab. Cilacap;Kab_Cilacap;Kab_Cilacap@mail.com;PW12;Pemerintah Daerah;Kab. Cilacap;password;
246;Kab. Demak;Kab_Demak;Kab_Demak@mail.com;PW11;Pemerintah Daerah;Kab. Demak;password;
247;Kab. Grobogan;Kab_Grobogan;Kab_Grobogan@mail.com;PW11;Pemerintah Daerah;Kab. Grobogan;password;
248;Kab. Jepara;Kab_Jepara;Kab_Jepara@mail.com;PW11;Pemerintah Daerah;Kab. Jepara;password;
249;Kab. Karanganyar;Kab_Karanganyar;Kab_Karanganyar@mail.com;PW11;Pemerintah Daerah;Kab. Karanganyar;password;
250;Kab. Kebumen;Kab_Kebumen;Kab_Kebumen@mail.com;PW12;Pemerintah Daerah;Kab. Kebumen;password;
251;Kab. Kendal;Kab_Kendal;Kab_Kendal@mail.com;PW11;Pemerintah Daerah;Kab. Kendal;password;
252;Kab. Klaten;Kab_Klaten;Kab_Klaten@mail.com;PW12;Pemerintah Daerah;Kab. Klaten;password;
253;Kab. Kudus;Kab_Kudus;Kab_Kudus@mail.com;PW11;Pemerintah Daerah;Kab. Kudus;password;
254;Kab. Magelang;Kab_Magelang;Kab_Magelang@mail.com;PW12;Pemerintah Daerah;Kab. Magelang;password;
255;Kab. Pati;Kab_Pati;Kab_Pati@mail.com;PW11;Pemerintah Daerah;Kab. Pati;password;
256;Kab. Pekalongan;Kab_Pekalongan;Kab_Pekalongan@mail.com;PW11;Pemerintah Daerah;Kab. Pekalongan;password;
257;Kab. Pemalang;Kab_Pemalang;Kab_Pemalang@mail.com;PW11;Pemerintah Daerah;Kab. Pemalang;password;
258;Kab. Purbalingga;Kab_Purbalingga;Kab_Purbalingga@mail.com;PW11;Pemerintah Daerah;Kab. Purbalingga;password;
259;Kab. Purworejo;Kab_Purworejo;Kab_Purworejo@mail.com;PW12;Pemerintah Daerah;Kab. Purworejo;password;
260;Kab. Rembang;Kab_Rembang;Kab_Rembang@mail.com;PW11;Pemerintah Daerah;Kab. Rembang;password;
261;Kab. Semarang;Kab_Semarang;Kab_Semarang@mail.com;PW11;Pemerintah Daerah;Kab. Semarang;password;
262;Kab. Sragen;Kab_Sragen;Kab_Sragen@mail.com;PW11;Pemerintah Daerah;Kab. Sragen;password;
263;Kab. Sukoharjo;Kab_Sukoharjo;Kab_Sukoharjo@mail.com;PW11;Pemerintah Daerah;Kab. Sukoharjo;password;
264;Kab. Tegal;Kab_Tegal;Kab_Tegal@mail.com;PW11;Pemerintah Daerah;Kab. Tegal;password;
265;Kab. Temanggung;Kab_Temanggung;Kab_Temanggung@mail.com;PW11;Pemerintah Daerah;Kab. Temanggung;password;
266;Kab. Wonogiri;Kab_Wonogiri;Kab_Wonogiri@mail.com;PW11;Pemerintah Daerah;Kab. Wonogiri;password;
267;Kab. Wonosobo;Kab_Wonosobo;Kab_Wonosobo@mail.com;PW11;Pemerintah Daerah;Kab. Wonosobo;password;
268;Kota Magelang;Kota_Magelang;Kota_Magelang@mail.com;PW12;Pemerintah Daerah;Kota Magelang;password;
269;Kota Pekalongan;Kota_Pekalongan;Kota_Pekalongan@mail.com;PW11;Pemerintah Daerah;Kota Pekalongan;password;
270;Kota Salatiga;Kota_Salatiga;Kota_Salatiga@mail.com;PW11;Pemerintah Daerah;Kota Salatiga;password;
271;Kota Semarang;Kota_Semarang;Kota_Semarang@mail.com;PW11;Pemerintah Daerah;Kota Semarang;password;
272;Kota Surakarta;Kota_Surakarta;Kota_Surakarta@mail.com;PW11;Pemerintah Daerah;Kota Surakarta;password;
273;Kota Tegal;Kota_Tegal;Kota_Tegal@mail.com;PW11;Pemerintah Daerah;Kota Tegal;password;
274;Prov. Daerah Istimewa Yogyakarta;Prov_Daerah_Istimewa_Yogyakarta;Prov_Daerah_Istimewa_Yogyakarta@mail.com;PW12;Pemerintah Daerah;Prov. Daerah Istimewa Yogyakarta;password;
275;Kab. Bantul;Kab_Bantul;Kab_Bantul@mail.com;PW12;Pemerintah Daerah;Kab. Bantul;password;
276;Kab. Gunung Kidul;Kab_Gundul;Kab_Gundul@mail.com;PW12;Pemerintah Daerah;Kab. Gunung Kidul;password;
277;Kab. Kulon Progo;Kab_Kulonprogo;Kab_Kulonprogo@mail.com;PW12;Pemerintah Daerah;Kab. Kulon Progo;password;
278;Kab. Sleman;Kab_Sleman;Kab_Sleman@mail.com;PW12;Pemerintah Daerah;Kab. Sleman;password;
279;Kota Yogyakarta;Kota_Yogyakarta;Kota_Yogyakarta@mail.com;PW12;Pemerintah Daerah;Kota Yogyakarta;password;
280;Prov. Jawa Timur;Prov_Jawa_Timur;Prov_Jawa_Timur@mail.com;PW13;Pemerintah Daerah;Prov. Jawa Timur;password;
281;Kab. Bangkalan;Kab_Bangkalan;Kab_Bangkalan@mail.com;PW13;Pemerintah Daerah;Kab. Bangkalan;password;
282;Kab. Banyuwangi;Kab_Banyuwangi;Kab_Banyuwangi@mail.com;PW13;Pemerintah Daerah;Kab. Banyuwangi;password;
283;Kab. Blitar;Kab_Blitar;Kab_Blitar@mail.com;PW13;Pemerintah Daerah;Kab. Blitar;password;
284;Kab. Bojonegoro;Kab_Bojonegoro;Kab_Bojonegoro@mail.com;PW13;Pemerintah Daerah;Kab. Bojonegoro;password;
285;Kab. Bondowoso;Kab_Bondowoso;Kab_Bondowoso@mail.com;PW13;Pemerintah Daerah;Kab. Bondowoso;password;
286;Kab. Gresik;Kab_Gresik;Kab_Gresik@mail.com;PW13;Pemerintah Daerah;Kab. Gresik;password;
287;Kab. Jember;Kab_Jember;Kab_Jember@mail.com;PW13;Pemerintah Daerah;Kab. Jember;password;
288;Kab. Jombang;Kab_Jombang;Kab_Jombang@mail.com;PW13;Pemerintah Daerah;Kab. Jombang;password;
289;Kab. Kediri;Kab_Kediri;Kab_Kediri@mail.com;PW13;Pemerintah Daerah;Kab. Kediri;password;
290;Kab. Lamongan;Kab_Lamongan;Kab_Lamongan@mail.com;PW13;Pemerintah Daerah;Kab. Lamongan;password;
291;Kab. Lumajang;Kab_Lumajang;Kab_Lumajang@mail.com;PW13;Pemerintah Daerah;Kab. Lumajang;password;
292;Kab. Madiun;Kab_Madiun;Kab_Madiun@mail.com;PW13;Pemerintah Daerah;Kab. Madiun;password;
293;Kab. Magetan;Kab_Magetan;Kab_Magetan@mail.com;PW13;Pemerintah Daerah;Kab. Magetan;password;
294;Kab. Malang;Kab_Malang;Kab_Malang@mail.com;PW13;Pemerintah Daerah;Kab. Malang;password;
295;Kab. Nganjuk;Kab_Nganjuk;Kab_Nganjuk@mail.com;PW13;Pemerintah Daerah;Kab. Nganjuk;password;
296;Kab. Ngawi;Kab_Ngawi;Kab_Ngawi@mail.com;PW13;Pemerintah Daerah;Kab. Ngawi;password;
297;Kab. Pacitan;Kab_Pacitan;Kab_Pacitan@mail.com;PW13;Pemerintah Daerah;Kab. Pacitan;password;
298;Kab. Pamekasan;Kab_Pamekasan;Kab_Pamekasan@mail.com;PW13;Pemerintah Daerah;Kab. Pamekasan;password;
299;Kab. Pasuruan;Kab_Pasuruan;Kab_Pasuruan@mail.com;PW13;Pemerintah Daerah;Kab. Pasuruan;password;
300;Kab. Ponorogo;Kab_Ponorogo;Kab_Ponorogo@mail.com;PW13;Pemerintah Daerah;Kab. Ponorogo;password;
301;Kab. Probolinggo;Kab_Probolinggo;Kab_Probolinggo@mail.com;PW13;Pemerintah Daerah;Kab. Probolinggo;password;
302;Kab. Sampang;Kab_Sampang;Kab_Sampang@mail.com;PW13;Pemerintah Daerah;Kab. Sampang;password;
303;Kab. Sidoarjo;Kab_Sidoarjo;Kab_Sidoarjo@mail.com;PW13;Pemerintah Daerah;Kab. Sidoarjo;password;
304;Kab. Situbondo;Kab_Situbondo;Kab_Situbondo@mail.com;PW13;Pemerintah Daerah;Kab. Situbondo;password;
305;Kab. Sumenep;Kab_Sumenep;Kab_Sumenep@mail.com;PW13;Pemerintah Daerah;Kab. Sumenep;password;
306;Kab. Trenggalek;Kab_Trenggalek;Kab_Trenggalek@mail.com;PW13;Pemerintah Daerah;Kab. Trenggalek;password;
307;Kab. Tuban;Kab_Tuban;Kab_Tuban@mail.com;PW13;Pemerintah Daerah;Kab. Tuban;password;
308;Kab. Tulungagung;Kab_Tulungagung;Kab_Tulungagung@mail.com;PW13;Pemerintah Daerah;Kab. Tulungagung;password;
309;Kab. Mojokerto;Kab_Mojokerto;Kab_Mojokerto@mail.com;PW13;Pemerintah Daerah;Kab. Mojokerto;password;
310;Kota Batu;Kota_Batu;Kota_Batu@mail.com;PW13;Pemerintah Daerah;Kota Batu;password;
311;Kota Blitar;Kota_Blitar;Kota_Blitar@mail.com;PW13;Pemerintah Daerah;Kota Blitar;password;
312;Kota Kediri;Kota_Kediri;Kota_Kediri@mail.com;PW13;Pemerintah Daerah;Kota Kediri;password;
313;Kota Madiun;Kota_Madiun;Kota_Madiun@mail.com;PW13;Pemerintah Daerah;Kota Madiun;password;
314;Kota Malang;Kota_Malang;Kota_Malang@mail.com;PW13;Pemerintah Daerah;Kota Malang;password;
315;Kota Mojokerto;Kota_Mojokerto;Kota_Mojokerto@mail.com;PW13;Pemerintah Daerah;Kota Mojokerto;password;
316;Kota Pasuruan;Kota_Pasuruan;Kota_Pasuruan@mail.com;PW13;Pemerintah Daerah;Kota Pasuruan;password;
317;Kota Probolinggo;Kota_Probolinggo;Kota_Probolinggo@mail.com;PW13;Pemerintah Daerah;Kota Probolinggo;password;
318;Kota Surabaya;Kota_Surabaya;Kota_Surabaya@mail.com;PW13;Pemerintah Daerah;Kota Surabaya;password;
319;Prov. Kalimantan Barat;Prov_Kalimantan_Barat;Prov_Kalimantan_Barat@mail.com;PW14;Pemerintah Daerah;Prov. Kalimantan Barat;password;
320;Kab. Bengkayang;Kab_Bengkayang;Kab_Bengkayang@mail.com;PW14;Pemerintah Daerah;Kab. Bengkayang;password;
321;Kab. Kapuas hulu;Kab_Puaslu;Kab_Puaslu@mail.com;PW14;Pemerintah Daerah;Kab. Kapuas hulu;password;
322;Kab. Kayong Utara;Kab_Yongra;Kab_Yongra@mail.com;PW14;Pemerintah Daerah;Kab. Kayong Utara;password;
323;Kab. Ketapang;Kab_Ketapang;Kab_Ketapang@mail.com;PW14;Pemerintah Daerah;Kab. Ketapang;password;
324;Kab. Kubu Raya;Kab_Kura;Kab_Kura@mail.com;PW14;Pemerintah Daerah;Kab. Kubu Raya;password;
325;Kab. Landak;Kab_Landak;Kab_Landak@mail.com;PW14;Pemerintah Daerah;Kab. Landak;password;
326;Kab. Melawi;Kab_Melawi;Kab_Melawi@mail.com;PW14;Pemerintah Daerah;Kab. Melawi;password;
327;Kab. Pontianak (Mempawah);Kab_Mempawah;Kab_Mempawah@mail.com;PW14;Pemerintah Daerah;Kab. Pontianak (Mempawah);password;
328;Kab. Sambas;Kab_Sambas;Kab_Sambas@mail.com;PW14;Pemerintah Daerah;Kab. Sambas;password;
329;Kab. Sanggau;Kab_Sanggau;Kab_Sanggau@mail.com;PW14;Pemerintah Daerah;Kab. Sanggau;password;
330;Kab. Sekadau;Kab_Sekadau;Kab_Sekadau@mail.com;PW14;Pemerintah Daerah;Kab. Sekadau;password;
331;Kab. Sintang;Kab_Sintang;Kab_Sintang@mail.com;PW14;Pemerintah Daerah;Kab. Sintang;password;
332;Kota Pontianak;Kota_Pontianak;Kota_Pontianak@mail.com;PW14;Pemerintah Daerah;Kota Pontianak;password;
333;Kota Singkawang;Kota_Singkawang;Kota_Singkawang@mail.com;PW14;Pemerintah Daerah;Kota Singkawang;password;
334;Prov. Kalimantan Tengah;Prov_Kalimantan_Tengah;Prov_Kalimantan_Tengah@mail.com;PW15;Pemerintah Daerah;Prov. Kalimantan Tengah;password;
335;Kab. Barito Selatan;Kab_Barsel;Kab_Barsel@mail.com;PW15;Pemerintah Daerah;Kab. Barito Selatan;password;
336;Kab. Barito Timur;Kab_Bartim;Kab_Bartim@mail.com;PW15;Pemerintah Daerah;Kab. Barito Timur;password;
337;Kab. Barito Utara;Kab_Barut;Kab_Barut@mail.com;PW15;Pemerintah Daerah;Kab. Barito Utara;password;
338;Kab. Gunung Mas;Kab_Gumas;Kab_Gumas@mail.com;PW15;Pemerintah Daerah;Kab. Gunung Mas;password;
339;Kab. Kapuas;Kab_Kapuas;Kab_Kapuas@mail.com;PW15;Pemerintah Daerah;Kab. Kapuas;password;
340;Kab. Katingan;Kab_Katingan;Kab_Katingan@mail.com;PW15;Pemerintah Daerah;Kab. Katingan;password;
341;Kab. Kotawaringin Barat;Kab_Kobar;Kab_Kobar@mail.com;PW15;Pemerintah Daerah;Kab. Kotawaringin Barat;password;
342;Kab. Kotawaringin Timur;Kab_Kotim;Kab_Kotim@mail.com;PW15;Pemerintah Daerah;Kab. Kotawaringin Timur;password;
343;Kab. Lamandau;Kab_Lamandau;Kab_Lamandau@mail.com;PW15;Pemerintah Daerah;Kab. Lamandau;password;
344;Kab. Murung Raya;Kab_Murra;Kab_Murra@mail.com;PW15;Pemerintah Daerah;Kab. Murung Raya;password;
345;Kab. Pulang Pisau;Kab_Pusau;Kab_Pusau@mail.com;PW15;Pemerintah Daerah;Kab. Pulang Pisau;password;
346;Kab. Seruyan;Kab_Seruyan;Kab_Seruyan@mail.com;PW15;Pemerintah Daerah;Kab. Seruyan;password;
347;Kab. Sukamara;Kab_Sukamara;Kab_Sukamara@mail.com;PW15;Pemerintah Daerah;Kab. Sukamara;password;
348;Kota Palangkaraya;Kota_Palangkaraya;Kota_Palangkaraya@mail.com;PW15;Pemerintah Daerah;Kota Palangkaraya;password;
349;Prov. Kalimantan Selatan;Prov_Kalimantan_Selatan;Prov_Kalimantan_Selatan@mail.com;PW16;Pemerintah Daerah;Prov. Kalimantan Selatan;password;
350;Kab. Balangan;Kab_Balangan;Kab_Balangan@mail.com;PW16;Pemerintah Daerah;Kab. Balangan;password;
351;Kab. Banjar;Kab_Banjar;Kab_Banjar@mail.com;PW16;Pemerintah Daerah;Kab. Banjar;password;
352;Kab. Barito Kuala;Kab_Barku;Kab_Barku@mail.com;PW16;Pemerintah Daerah;Kab. Barito Kuala;password;
353;Kab. Hulu Sungai Selatan;Kab_HSS;Kab_HSS@mail.com;PW16;Pemerintah Daerah;Kab. Hulu Sungai Selatan;password;
354;Kab. Hulu Sungai Tengah;Kab_HST;Kab_HST@mail.com;PW16;Pemerintah Daerah;Kab. Hulu Sungai Tengah;password;
355;Kab. Hulu Sungai Utara;Kab_HSU;Kab_HSU@mail.com;PW16;Pemerintah Daerah;Kab. Hulu Sungai Utara;password;
356;Kab. Kotabaru;Kab_Kotabaru;Kab_Kotabaru@mail.com;PW16;Pemerintah Daerah;Kab. Kotabaru;password;
357;Kab. Tabalong;Kab_Tabalong;Kab_Tabalong@mail.com;PW16;Pemerintah Daerah;Kab. Tabalong;password;
358;Kab. Tanah Bumbu;Kab_Bumbu;Kab_Bumbu@mail.com;PW16;Pemerintah Daerah;Kab. Tanah Bumbu;password;
359;Kab. Tanah Laut;Kab_Talaut;Kab_Talaut@mail.com;PW16;Pemerintah Daerah;Kab. Tanah Laut;password;
360;Kab. Tapin;Kab_Tapin;Kab_Tapin@mail.com;PW16;Pemerintah Daerah;Kab. Tapin;password;
361;Kota Banjar Baru;Kota_Banjarbaru;Kota_Banjarbaru@mail.com;PW16;Pemerintah Daerah;Kota Banjar Baru;password;
362;Kota Banjarmasin;Kota_Banjarmasin;Kota_Banjarmasin@mail.com;PW16;Pemerintah Daerah;Kota Banjarmasin;password;
363;Prov. Kalimantan Timur;Prov_Kalimantan_Timur;Prov_Kalimantan_Timur@mail.com;PW17;Pemerintah Daerah;Prov. Kalimantan Timur;password;
364;Kab. Berau;Kab_Berau;Kab_Berau@mail.com;PW17;Pemerintah Daerah;Kab. Berau;password;
365;Kab. Kutai Barat;Kab_Kubar;Kab_Kubar@mail.com;PW17;Pemerintah Daerah;Kab. Kutai Barat;password;
366;Kab. Kutai Kertanegara;Kab_Kutai;Kab_Kutai@mail.com;PW17;Pemerintah Daerah;Kab. Kutai Kertanegara;password;
367;Kab. Kutai Timur;Kab_Kutim;Kab_Kutim@mail.com;PW17;Pemerintah Daerah;Kab. Kutai Timur;password;
368;Kab. Mahakam Ulu;Kab_Malu;Kab_Malu@mail.com;PW17;Pemerintah Daerah;Kab. Mahakam Ulu;password;
369;Kab. Paser;Kab_Paser;Kab_Paser@mail.com;PW17;Pemerintah Daerah;Kab. Paser;password;
370;Kab. Penajam Paser Utara;Kab_PPU;Kab_PPU@mail.com;PW17;Pemerintah Daerah;Kab. Penajam Paser Utara;password;
371;Kota Balikpapan;Kota_Balikpapan;Kota_Balikpapan@mail.com;PW17;Pemerintah Daerah;Kota Balikpapan;password;
372;Kota Bontang;Kota_Bontang;Kota_Bontang@mail.com;PW17;Pemerintah Daerah;Kota Bontang;password;
373;Kota Samarinda;Kota_Samarinda;Kota_Samarinda@mail.com;PW17;Pemerintah Daerah;Kota Samarinda;password;
374;Prov. Kalimantan Utara;Prov_Kalimantan_Utara;Prov_Kalimantan_Utara@mail.com;PW34;Pemerintah Daerah;Prov. Kalimantan Utara;password;
375;Kab. Bulungan;Kab_Bulungan;Kab_Bulungan@mail.com;PW34;Pemerintah Daerah;Kab. Bulungan;password;
376;Kab. Malinau;Kab_Malinau;Kab_Malinau@mail.com;PW34;Pemerintah Daerah;Kab. Malinau;password;
377;Kab. Nunukan;Kab_Nunukan;Kab_Nunukan@mail.com;PW34;Pemerintah Daerah;Kab. Nunukan;password;
378;Kab. Tana Tidung;Kab_Tidung;Kab_Tidung@mail.com;PW34;Pemerintah Daerah;Kab. Tana Tidung;password;
379;Kota Tarakan;Kota_Tarakan;Kota_Tarakan@mail.com;PW34;Pemerintah Daerah;Kota Tarakan;password;
380;Prov. Sulawesi Barat;Prov_Sulawesi_Barat;Prov_Sulawesi_Barat@mail.com;PW32;Pemerintah Daerah;Prov. Sulawesi Barat;password;
381;Kab. Majene;Kab_Majene;Kab_Majene@mail.com;PW32;Pemerintah Daerah;Kab. Majene;password;
382;Kab. Mamasa;Kab_Mamasa;Kab_Mamasa@mail.com;PW32;Pemerintah Daerah;Kab. Mamasa;password;
383;Kab. Mamuju;Kab_Mamuju;Kab_Mamuju@mail.com;PW32;Pemerintah Daerah;Kab. Mamuju;password;
384;Kab. Mamuju Tengah;Kab_Mamuteng;Kab_Mamuteng@mail.com;PW32;Pemerintah Daerah;Kab. Mamuju Tengah;password;
385;Kab. Pasang Kayu (Mamuju Utara);Kab_Sangyu;Kab_Sangyu@mail.com;PW32;Pemerintah Daerah;Kab. Pasang Kayu (Mamuju Utara);password;
386;Kab. Polewali Mandar;Kab_Polman;Kab_Polman@mail.com;PW32;Pemerintah Daerah;Kab. Polewali Mandar;password;
387;Prov. Sulawesi Utara;Prov_Sulawesi_Utara;Prov_Sulawesi_Utara@mail.com;PW18;Pemerintah Daerah;Prov. Sulawesi Utara;password;
388;Kab. Bolaang Mongondow;Kab_BM;Kab_BM@mail.com;PW18;Pemerintah Daerah;Kab. Bolaang Mongondow;password;
389;Kab. Bolaang Mongondow Selatan;Kab_BMS;Kab_BMS@mail.com;PW18;Pemerintah Daerah;Kab. Bolaang Mongondow Selatan;password;
390;Kab. Bolaang Mongondow Timur;Kab_BMT;Kab_BMT@mail.com;PW18;Pemerintah Daerah;Kab. Bolaang Mongondow Timur;password;
391;Kab. Bolaang Mongondow Utara;Kab_BMU;Kab_BMU@mail.com;PW18;Pemerintah Daerah;Kab. Bolaang Mongondow Utara;password;
392;Kab. Kep. Talaud;Kab_Talaud;Kab_Talaud@mail.com;PW18;Pemerintah Daerah;Kab. Kep. Talaud;password;
393;Kab. Minahasa;Kab_Minahasa;Kab_Minahasa@mail.com;PW18;Pemerintah Daerah;Kab. Minahasa;password;
394;Kab. Minahasa Selatan;Kab_Minasel;Kab_Minasel@mail.com;PW18;Pemerintah Daerah;Kab. Minahasa Selatan;password;
395;Kab. Minahasa Tenggara;Kab_Minara;Kab_Minara@mail.com;PW18;Pemerintah Daerah;Kab. Minahasa Tenggara;password;
396;Kab. Minahasa Utara;Kab_Minaut;Kab_Minaut@mail.com;PW18;Pemerintah Daerah;Kab. Minahasa Utara;password;
397;Kab. Siau Tagulandang Biaro;Kab_Sitaro;Kab_Sitaro@mail.com;PW18;Pemerintah Daerah;Kab. Siau Tagulandang Biaro;password;
398;Kab. Kep. Sangihe;Kab_Sangihe;Kab_Sangihe@mail.com;PW18;Pemerintah Daerah;Kab. Kep. Sangihe;password;
399;Kota Bitung;Kota_Bitung;Kota_Bitung@mail.com;PW18;Pemerintah Daerah;Kota Bitung;password;
400;Kota Kotamobagu;Kota_Kotamobagu;Kota_Kotamobagu@mail.com;PW18;Pemerintah Daerah;Kota Kotamobagu;password;
401;Kota Manado;Kota_Manado;Kota_Manado@mail.com;PW18;Pemerintah Daerah;Kota Manado;password;
402;Kota Tomohon;Kota_Tomohon;Kota_Tomohon@mail.com;PW18;Pemerintah Daerah;Kota Tomohon;password;
403;Prov. Gorontalo;Prov_Gorontalo;Prov_Gorontalo@mail.com;PW31;Pemerintah Daerah;Prov. Gorontalo;password;
404;Kab. Boalemo;Kab_Boalemo;Kab_Boalemo@mail.com;PW31;Pemerintah Daerah;Kab. Boalemo;password;
405;Kab. Bone Bolango;Kab_Bolango;Kab_Bolango@mail.com;PW31;Pemerintah Daerah;Kab. Bone Bolango;password;
406;Kab. Gorontalo;Kab_Gorontalo;Kab_Gorontalo@mail.com;PW31;Pemerintah Daerah;Kab. Gorontalo;password;
407;Kab. Gorontalo Utara;Kab_Gorontalout;Kab_Gorontalout@mail.com;PW31;Pemerintah Daerah;Kab. Gorontalo Utara;password;
408;Kab. Pohuwato;Kab_Pohuwato;Kab_Pohuwato@mail.com;PW31;Pemerintah Daerah;Kab. Pohuwato;password;
409;Kota Gorontalo;Kota_Gorontalo;Kota_Gorontalo@mail.com;PW31;Pemerintah Daerah;Kota Gorontalo;password;
410;Prov. Sulawesi Tengah;Prov_Sulawesi_Tengah;Prov_Sulawesi_Tengah@mail.com;PW19;Pemerintah Daerah;Prov. Sulawesi Tengah;password;
411;Kab. Banggai;Kab_Banggai;Kab_Banggai@mail.com;PW19;Pemerintah Daerah;Kab. Banggai;password;
412;Kab. Banggai Kepulauan;Kab_Bangkep;Kab_Bangkep@mail.com;PW19;Pemerintah Daerah;Kab. Banggai Kepulauan;password;
413;Kab. Banggai Laut;Kab_Banglau;Kab_Banglau@mail.com;PW19;Pemerintah Daerah;Kab. Banggai Laut;password;
414;Kab. Buol;Kab_Buol;Kab_Buol@mail.com;PW19;Pemerintah Daerah;Kab. Buol;password;
415;Kab. Donggala;Kab_Donggala;Kab_Donggala@mail.com;PW19;Pemerintah Daerah;Kab. Donggala;password;
416;Kab. Morowali;Kab_Morowali;Kab_Morowali@mail.com;PW19;Pemerintah Daerah;Kab. Morowali;password;
417;Kab. Morowali Utara;Kab_Morut;Kab_Morut@mail.com;PW19;Pemerintah Daerah;Kab. Morowali Utara;password;
